tf	real_stat	exp_ASB_corr	num_gte	p_perm_tf
CEBPB	0.0908820446629226	2.98597738287561	874	0.175
CTCF	0.00744714717000861	23.555123597154	4790	0.9582
ELF1	0.0160715455501946	2.33361858190709	3564	0.713
GATA3	0.0258316741330679	1.15048500489454	3344	0.669
IKZF1	0.030585025396168	3.45510606808091	4176	0.8354
JUN	0.0581410266835076	2.02301931415057	2987	0.5976
NFIC	-0.0279729949206081	2.26564328491774	9145	0.5914
NR2C1	0.0264321281504629	1.00962423633777	3184	0.637
VEZF1	0.057297411777164	1.24995012966288	3653	0.7308
other	0.00654022682024391	15.2589138719462	1102	0.2206
