tf	n_corr	reg	n_reg	n_reg_corr	fi_OR	fi_logOR	fi_p	fi_logOR_plot	reg_lab
RELA	193	any	2049	16	1.41414164278324	0.499926630123785	0.219010553334535	0.499926630123785	any
IRF1	58	any	1189	5	2.31348552304958	1.21006807107095	0.0780400340881418	1.21006807107095	any
BATF	50	any	1462	4	1.74768589416653	0.805445917305217	0.300162372247603	0.805445917305217	any
NFIC	96	any	1866	11	2.06271466547859	1.04454426757948	0.0300736196977815	1.04454426757948	any
ESRRA	63	any	2221	7	1.59460952156732	0.673203188713284	0.223757129201995	0.673203188713284	any
STAT3	152	any	2111	13	1.35769458328612	0.441158978305449	0.314933497766513	0.441158978305449	any
ZBTB48	38	any	714	3	4.25853480899553	2.09035714233013	0.0404803411341898	2.09035714233013	any
CUX1	56	any	1621	3	1.04319427167075	0.0610078526581577	0.764406022426545	0.0610078526581577	any
IRF3	138	any	2135	17	1.94733702606353	0.961502593227424	0.0159087627009033	0.961502593227424	any
POU5F1	24	any	1378	1	1.23896103575373	0.309130816688536	0.567822024733012	0.309130816688536	any
MITF	60	any	1364	7	2.93150808605026	1.55164303616079	0.0152031914517816	1.55164303616079	any
SP1	91	any	2113	9	1.56019375321163	0.641725201805654	0.200520399900186	0.641725201805654	any
USF2	15	any	1751	1	1.60147360587225	0.679400021034229	0.488818268583285	0.679400021034229	any
HIC1	82	any	1424	3	0.815496731996796	-0.294248999362174	1	-0.294248999362174	any
KLF9	46	any	1586	4	1.83214785997603	0.8735359380671	0.288511650589099	0.8735359380671	any
RUNX1	35	any	1775	3	1.52250665467514	0.606448533974527	0.455356425221777	0.606448533974527	any
ZNF324	36	any	707	0	0	-Inf	1	-3	any
NFIA	10	any	1411	0	0	-Inf	1	-3	any
PBX2	36	any	1712	2	1.28394137461312	0.360579329807691	0.670980518617664	0.360579329807691	any
REST	61	any	1427	5	1.99337410446985	0.995212491920411	0.189217310289785	0.995212491920411	any
VEZF1	104	any	942	10	3.23806187441059	1.69513055359985	0.00192252777078443	1.69513055359985	any
TCF7	58	any	1502	5	1.93095496688026	0.949314518604404	0.195699114201851	0.949314518604404	any
CBFB	65	any	0	0	0	-Inf	1	-3	any
SP2	42	any	1082	1	0.772019573844963	-0.37329066872682	1	-0.37329066872682	any
BACH1	101	any	1379	7	1.64849053152525	0.721145600589859	0.211712569800917	0.721145600589859	any
HINFP	29	any	1545	2	2.35393302696262	1.23507327405376	0.232360938889723	1.23507327405376	any
RXRB	61	any	1547	5	1.78976026981245	0.839766358039971	0.21571265106446	0.839766358039971	any
IRF9	13	any	1485	4	8.60532338675132	3.10522940954565	0.00316573515516849	3.10522940954565	any
E2F4	117	any	2504	19	2.48784775903207	1.3148982041142	0.00101445935479825	1.3148982041142	any
RBPJ	29	any	1769	2	1.35788375230623	0.441359976526765	0.660686791981657	0.441359976526765	any
NFE2L2	64	any	1700	1	0.316051604559831	-1.66176795558563	0.36886415280089	-1.66176795558563	any
SMAD2	29	any	1658	1	0.610760955580686	-0.711320257688046	1	-0.711320257688046	any
STAT5A	160	any	1594	11	1.4274110834604	0.513400879776522	0.266071199617315	0.513400879776522	any
CREB1	7	any	1739	0	0	-Inf	1	-3	any
IRF2	92	any	1438	8	2.06555617165144	1.04653029401687	0.0668702043737034	1.04653029401687	any
BHLHE40	29	any	1144	2	1.88383004491238	0.913668813983521	0.302585014853643	0.913668813983521	any
MAFK	58	any	1442	1	0.393208309833163	-1.34663428381819	0.517489241739136	-1.34663428381819	any
NFATC3	74	any	1421	5	1.55270565908558	0.634784369052863	0.385701731185794	0.634784369052863	any
NR2C1	58	any	888	3	1.87875307711473	0.909775467060884	0.226755763857661	0.909775467060884	any
CTCF	88	any	1803	8	1.69590772689632	0.762057676050547	0.157555463320154	0.762057676050547	any
THAP11	110	any	1060	10	3.15553933647771	1.65788660792184	0.00236302353046688	1.65788660792184	any
ELF1	108	any	1746	9	1.51531760511374	0.599620209077698	0.211149567624385	0.599620209077698	any
RELB	131	any	1510	9	1.52137701732054	0.605377716256161	0.20942941405617	0.605377716256161	any
MAX	78	any	1525	3	0.927326776649036	-0.108850281411846	1	-0.108850281411846	any
HNF4A	1	any	1463	0	0	-Inf	1	-3	any
GATA2	10	any	1530	1	2.37759539415379	1.24950322622219	0.373139940000377	1.24950322622219	any
MZF1	68	any	1020	9	5.01509540679774	2.32627714682045	0.000202289787171311	2.32627714682045	any
TFDP1	56	any	1990	3	0.818840190988794	-0.288346179241715	1	-0.288346179241715	any
ZNF76	84	any	1239	12	4.48588221468046	2.16539174023532	5.59536928044197e-05	2.16539174023532	any
HSF1	32	any	1967	2	1.27209790680402	0.347209711679552	0.672734781597799	0.347209711679552	any
E2F7	18	any	1414	3	3.88119425193701	1.95650064113495	0.0563489930035145	1.95650064113495	any
ZNF770	71	any	1395	3	1.00055513413654	0.000800667047565674	1	0.000800667047565674	any
USF1	49	any	1740	5	2.07559240102626	1.05352315913258	0.182146306608517	1.05352315913258	any
ZNF274	12	any	1017	0	0	-Inf	1	-3	any
ZNF547	18	any	478	0	0	-Inf	1	-3	any
ZBTB17	59	any	1199	7	4.08631511126675	2.03080046005085	0.00304954929087487	2.03080046005085	any
E2F5	97	any	1246	3	0.872505680193781	-0.19676357128917	1	-0.19676357128917	any
E2F1	18	any	2133	3	2.91539678829957	1.54369224896786	0.109868600670393	1.54369224896786	any
SRF	27	any	1533	3	2.49309541668882	1.31793809925521	0.139507401424789	1.31793809925521	any
NFATC1	31	any	1298	1	1.04156720414325	0.058755928150764	1	0.058755928150764	any
SREBF2	29	any	1413	2	1.64604216284617	0.719001290407185	0.36024217361274	0.719001290407185	any
PPARG	45	any	1817	5	2.23728268951207	1.16174755813611	0.0916758391496634	1.16174755813611	any
NR2F2	45	any	1882	3	1.14347379115419	0.193423299020077	0.746581814575683	0.193423299020077	any
RXRA	99	any	1726	7	1.20596434128668	0.270187249352894	0.666131069811264	0.270187249352894	any
CEBPA	53	any	1799	3	1.07697309496918	0.106982208805632	0.757649776718854	0.106982208805632	any
BCL6	59	any	1392	4	1.63600470818442	0.710176900152852	0.31992871793088	0.710176900152852	any
STAT1	12	any	1927	0	0	-Inf	1	-3	any
KLF4	22	any	1256	1	1.078142917712	0.108548433199687	0.614659533009536	0.108548433199687	any
BCL11A	22	any	1172	3	4.13716290965585	2.04864176790062	0.047116941739635	2.04864176790062	any
PRDM1	21	any	1552	0	0	-Inf	0.620893719924081	-3	any
GATA3	67	any	1532	5	1.45878666415745	0.544768916109767	0.401410353829889	0.544768916109767	any
POU2F2	14	any	1465	2	3.87492689306543	1.95416909180445	0.117062202475209	1.95416909180445	any
TBX21	35	any	1470	4	2.31773201227659	1.21271376439855	0.111668010537058	1.21271376439855	any
MEF2D	42	any	1099	2	1.5712001549038	0.651866976999803	0.376612039464873	0.651866976999803	any
ZKSCAN1	50	any	1198	3	1.84689665243829	0.885103139094423	0.237354414926755	0.885103139094423	any
ZNF140	27	any	739	2	3.74575697921792	1.90525730207687	0.111763584003526	1.90525730207687	any
ZNF384	68	any	1661	5	1.55730310304143	0.639049768242798	0.384315159895679	0.639049768242798	any
ARNT	69	any	1445	3	0.93006959909734	-0.104589414671499	1	-0.104589414671499	any
JUND	11	any	1376	0	0	-Inf	1	-3	any
ZNF394	102	any	732	2	0.853494147970152	-0.228546833518807	1	-0.228546833518807	any
MAZ	17	any	1454	0	0	-Inf	1	-3	any
TFAP4	17	any	1400	0	0	-Inf	1	-3	any
NFYC	73	any	984	5	2.45377171448694	1.29500103478019	0.0635703269900566	1.29500103478019	any
KLF6	19	any	983	0	0	-Inf	1	-3	any
CEBPB	65	any	1547	5	1.61397263910244	0.690616121511718	0.253346189596511	0.690616121511718	any
ZEB1	34	any	2186	2	0.945284337233712	-0.0811797441611764	1	-0.0811797441611764	any
ZNF18	13	any	897	1	2.64554074906542	1.40356263963973	0.333535249290083	1.40356263963973	any
CEBPG	10	any	1745	2	5.79087788086777	2.53378207332152	0.070611965581493	2.53378207332152	any
ETS1	61	any	1980	4	1.12275197768507	0.16703926337238	0.781275042725016	0.16703926337238	any
ZBTB6	32	any	800	0	0	-Inf	1	-3	any
NR2C2	50	any	1497	6	3.79397535592286	1.92371030763622	0.00879273136497144	1.92371030763622	any
ZNF350	23	any	529	0	0	-Inf	1	-3	any
ETV5	10	any	933	1	5.58828977254949	2.48240683151709	0.190345420155787	2.48240683151709	any
TCF12	40	any	1955	3	1.42312167711957	0.509059017783093	0.476468737469085	0.509059017783093	any
ZNF549	9	any	545	0	0	-Inf	1	-3	any
EBF1	14	any	1764	1	1.29988626445538	0.378385397957994	0.555787547241222	0.378385397957994	any
CREM	13	any	1458	0	0	-Inf	1	-3	any
MXI1	54	any	1549	6	2.2437183773313	1.16589160592675	0.0654171376547035	1.16589160592675	any
ZNF143	56	any	1544	3	1.49880285616672	0.583810632028152	0.459658746488558	0.583810632028152	any
YY1	31	any	1494	2	1.70705472810949	0.771509311855096	0.346100007229081	0.771509311855096	any
FOXJ2	62	any	1483	1	0.330240532332668	-1.59841089345311	0.368785567559111	-1.59841089345311	any
RFX3	30	any	743	0	0	-Inf	1	-3	any
SOX5	13	any	875	0	0	-Inf	1	-3	any
ZNF680	12	any	802	1	4.08418419374447	2.03004793218275	0.237832086963101	2.03004793218275	any
SMAD4	90	any	1961	14	2.84885343668332	1.51038140207274	0.00119564505035219	1.51038140207274	any
ZNF121	36	any	837	4	4.82377006106477	2.27016113865012	0.0132651774921187	2.27016113865012	any
MAFG	12	any	1355	1	3.15373984774452	1.65706365700587	0.302796661264528	1.65706365700587	any
SP3	58	any	1626	7	2.54527195683516	1.3478198133995	0.0293857961883305	1.3478198133995	any
TCF7L2	36	any	1379	1	0.687471140748434	-0.54062894277798	1	-0.54062894277798	any
THRA	47	any	884	2	1.44118868773247	0.527259232830495	0.652098278539159	0.527259232830495	any
HLF	7	any	1005	2	17.259364048032	4.10930740171863	0.0128562062361642	4.10930740171863	any
TBP	40	any	1682	2	1.30842056195226	0.387826336799806	0.667405398435045	0.387826336799806	any
AHR	12	any	1418	1	2.25453577047699	1.17283039996451	0.384857172517433	1.17283039996451	any
ATF1	34	any	1842	2	1.05001646052176	0.0704119443932727	0.716674103540304	0.0704119443932727	any
PRDM6	18	any	619	1	2.84228408764609	1.50705075984286	0.310240329623908	1.50705075984286	any
JUN	33	any	1661	2	1.17294085457112	0.230130267442939	0.689884385039489	0.230130267442939	any
THRB	20	any	738	0	0	-Inf	1	-3	any
ETV1	28	any	1566	5	4.51942003785248	2.17613764826041	0.00915181549820485	2.17613764826041	any
ATF2	8	any	1624	0	0	-Inf	1	-3	any
ATF3	20	any	1368	2	3.4077977154439	1.76883970070832	0.138491488054253	1.76883970070832	any
IKZF1	33	any	1508	5	3.38640503074827	1.75975453699782	0.0240306256021686	1.75975453699782	any
RFX5	20	any	1470	4	5.3508003263009	2.41975469346361	0.0117978258017604	2.41975469346361	any
FOSL2	61	any	1384	3	1.18104988200731	0.240069898693437	0.742441320719795	0.240069898693437	any
ZNF331	4	any	527	1	16.7590253236737	4.06686634168169	0.0758655656680104	4.06686634168169	any
TEAD4	12	any	2026	1	1.76016082772463	0.815707255430891	0.46446109202934	0.815707255430891	any
PKNOX1	4	any	1345	1	9.53586567493593	3.25336391370814	0.142208517742613	3.25336391370814	any
ZNF341	25	any	861	1	2.02380186150044	1.01706805118668	0.404880918979039	1.01706805118668	any
RFX1	3	any	956	0	0	-Inf	1	-3	any
RUNX3	19	any	1609	1	0.92764271747027	-0.108358838008748	1	-0.108358838008748	any
NFE2	10	any	1516	1	1.86722013559346	0.900892023872229	0.439156090486568	0.900892023872229	any
MAFF	24	any	1261	1	1.2000829833066	0.263134168721814	0.577570301795745	0.263134168721814	any
TEAD1	20	any	2121	4	4.26863511097	2.0937748442222	0.0257417456147193	2.0937748442222	any
FOXA2	2	any	1395	0	0	-Inf	1	-3	any
OSR2	23	any	525	1	2.52266512452433	1.3349487060157	0.338176836711953	1.3349487060157	any
TBX3	5	any	518	0	0	-Inf	1	-3	any
ZNF214	2	any	628	0	0	-Inf	1	-3	any
ETV4	4	any	1466	0	0	-Inf	1	-3	any
FOSL1	9	any	1557	0	0	-Inf	1	-3	any
NFYA	13	any	1422	1	3.59672622907746	1.84668435047031	0.277367346359206	1.84668435047031	any
PATZ1	10	any	692	1	6.33894617332552	2.66424301751191	0.166295451622299	2.66424301751191	any
EGR2	6	any	790	1	8.29723901750504	3.05263134628939	0.13806876248086	3.05263134628939	any
NRF1	6	any	1321	0	0	-Inf	1	-3	any
MYC	22	any	2153	7	6.74540512851799	2.7539050939299	0.000435092610660391	2.7539050939299	any
NR4A1	11	any	1268	1	2.25433145097479	1.17269964839508	0.382075849585704	1.17269964839508	any
IRF4	16	any	1391	1	1.67306974363207	0.742497586855581	0.470189365179031	0.742497586855581	any
